id,photo_num,filename,cloudinary_url,public_id,width,height,bytes
21,1,21_BÜYÜK ZEYTİN DALI_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218090/alan-art-coffee/eser_21_B%C3%9CY%C3%9CK_ZEYT%C4%B0N_DALI_1.jpg,alan-art-coffee/eser_21_BÜYÜK_ZEYTİN_DALI_1,3000,4000,2178088
21,2,21_BÜYÜK ZEYTİN DALI_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218101/alan-art-coffee/eser_21_B%C3%9CY%C3%9CK_ZEYT%C4%B0N_DALI_2.jpg,alan-art-coffee/eser_21_BÜYÜK_ZEYTİN_DALI_2,3000,4000,1975119
21,3,21_BÜYÜK ZEYTİN DALI_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218111/alan-art-coffee/eser_21_B%C3%9CY%C3%9CK_ZEYT%C4%B0N_DALI_3.jpg,alan-art-coffee/eser_21_BÜYÜK_ZEYTİN_DALI_3,3000,4000,1345552
22,1,22_MERYEM VE OĞLU İSA_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218122/alan-art-coffee/eser_22_MERYEM_VE_O%C4%9ELU_%C4%B0SA_1.jpg,alan-art-coffee/eser_22_MERYEM_VE_OĞLU_İSA_1,3000,4000,2297273
22,2,22_MERYEM VE OĞLU İSA_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218132/alan-art-coffee/eser_22_MERYEM_VE_O%C4%9ELU_%C4%B0SA_2.jpg,alan-art-coffee/eser_22_MERYEM_VE_OĞLU_İSA_2,3000,4000,2024723
23,1,23_İSA SON NEFES_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218144/alan-art-coffee/eser_23_%C4%B0SA_SON_NEFES_1.jpg,alan-art-coffee/eser_23_İSA_SON_NEFES_1,3000,4000,2481164
23,2,23_İSA SON NEFES_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218156/alan-art-coffee/eser_23_%C4%B0SA_SON_NEFES_2.jpg,alan-art-coffee/eser_23_İSA_SON_NEFES_2,3000,4000,2326432
23,3,23_İSA SON NEFES_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218166/alan-art-coffee/eser_23_%C4%B0SA_SON_NEFES_3.jpg,alan-art-coffee/eser_23_İSA_SON_NEFES_3,3000,4000,1628427
24,1,24_ZEYTİN DALI 1_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218176/alan-art-coffee/eser_24_ZEYT%C4%B0N_DALI_1_1.jpg,alan-art-coffee/eser_24_ZEYTİN_DALI_1_1,3000,4000,2046090
24,2,24_ZEYTİN DALI 1_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218185/alan-art-coffee/eser_24_ZEYT%C4%B0N_DALI_1_2.jpg,alan-art-coffee/eser_24_ZEYTİN_DALI_1_2,3000,4000,1665506
49,1,49_ASLAN_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218213/alan-art-coffee/eser_49_ASLAN_1.jpg,alan-art-coffee/eser_49_ASLAN_1,3000,4000,2150219
49,2,49_ASLAN_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218226/alan-art-coffee/eser_49_ASLAN_2.jpg,alan-art-coffee/eser_49_ASLAN_2,3000,4000,2123328
49,3,49_ASLAN_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218236/alan-art-coffee/eser_49_ASLAN_3.jpg,alan-art-coffee/eser_49_ASLAN_3,3000,4000,1394282
50,1,50_TİLKİ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218260/alan-art-coffee/eser_50_T%C4%B0LK%C4%B0_1.jpg,alan-art-coffee/eser_50_TİLKİ_1,3000,4000,2171365
50,3,50_TİLKİ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218417/alan-art-coffee/eser_50_T%C4%B0LK%C4%B0_3.jpg,alan-art-coffee/eser_50_TİLKİ_3,3000,4000,1452606
53,1,53_BAYKUŞ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218426/alan-art-coffee/eser_53_BAYKU%C5%9E_1.jpg,alan-art-coffee/eser_53_BAYKUŞ_1,3000,4000,1571493
53,2,53_BAYKUŞ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218436/alan-art-coffee/eser_53_BAYKU%C5%9E_2.jpg,alan-art-coffee/eser_53_BAYKUŞ_2,3000,4000,1593932
53,3,53_BAYKUŞ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218446/alan-art-coffee/eser_53_BAYKU%C5%9E_3.jpg,alan-art-coffee/eser_53_BAYKUŞ_3,3000,4000,1301101
55,1,55_KADIN_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218457/alan-art-coffee/eser_55_KADIN_1.jpg,alan-art-coffee/eser_55_KADIN_1,3000,4000,2081401
55,2,55_KADIN_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218468/alan-art-coffee/eser_55_KADIN_2.jpg,alan-art-coffee/eser_55_KADIN_2,3000,4000,2082561
55,3,55_KADIN_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218478/alan-art-coffee/eser_55_KADIN_3.jpg,alan-art-coffee/eser_55_KADIN_3,3000,4000,1501156
56,1,56_ÇİÇEKLİ VAZO_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218491/alan-art-coffee/eser_56_%C3%87%C4%B0%C3%87EKL%C4%B0_VAZO_1.jpg,alan-art-coffee/eser_56_ÇİÇEKLİ_VAZO_1,3000,4000,2404553
56,2,56_ÇİÇEKLİ VAZO_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218504/alan-art-coffee/eser_56_%C3%87%C4%B0%C3%87EKL%C4%B0_VAZO_2.jpg,alan-art-coffee/eser_56_ÇİÇEKLİ_VAZO_2,3000,4000,2467150
56,3,56_ÇİÇEKLİ VAZO_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218514/alan-art-coffee/eser_56_%C3%87%C4%B0%C3%87EKL%C4%B0_VAZO_3.jpg,alan-art-coffee/eser_56_ÇİÇEKLİ_VAZO_3,3000,4000,1514876
57,1,57_ÇOCUK_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218525/alan-art-coffee/eser_57_%C3%87OCUK_1.jpg,alan-art-coffee/eser_57_ÇOCUK_1,3000,4000,2194269
57,2,57_ÇOCUK_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218537/alan-art-coffee/eser_57_%C3%87OCUK_2.jpg,alan-art-coffee/eser_57_ÇOCUK_2,3000,4000,2145033
57,3,57_ÇOCUK_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218547/alan-art-coffee/eser_57_%C3%87OCUK_3.jpg,alan-art-coffee/eser_57_ÇOCUK_3,3000,4000,1378240
58,1,58_KEDİ_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218559/alan-art-coffee/eser_58_KED%C4%B0_1.jpg,alan-art-coffee/eser_58_KEDİ_1,3000,4000,2324150
58,2,58_KEDİ_2.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218570/alan-art-coffee/eser_58_KED%C4%B0_2.jpg,alan-art-coffee/eser_58_KEDİ_2,3000,4000,2129889
58,3,58_KEDİ_3.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218581/alan-art-coffee/eser_58_KED%C4%B0_3.jpg,alan-art-coffee/eser_58_KEDİ_3,3000,4000,1671432
59,1,59_DENİZ ve KADIN_1.jpg,https://res.cloudinary.com/dzimaffgf/image/upload/v1782218595/alan-art-coffee/eser_59_DEN%C4%B0Z_ve_KADIN_1.jpg,alan-art-coffee/eser_59_DENİZ_ve_KADIN_1,3000,4000,2309684
